type,intensity,zone_id,zone_name,lat,lng,risk_score,hour,dow,created_at,validation_status,is_anonymous
Dark Zone,Medium,puente-madera,Puente Madera,4.858415984245587,-74.03157315693986,70,16,3,2026-03-19 16:22:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858623081729728,-74.03180662859062,47,21,0,2026-02-09 21:23:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.85862045528605,-74.03204537732859,79,11,4,2026-01-09 11:24:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858628813093958,-74.03136675872703,72,8,1,2026-03-17 08:50:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.8639779695088645,-74.03183055547622,5,22,6,2026-05-03 22:33:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.8591896719606495,-74.03149415631319,80,7,3,2026-03-05 07:40:00,pending,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858670174982578,-74.03146638304784,48,17,4,2025-12-05 17:42:00,discarded,False
Maintenance,Information,ad-portas,Ad Portas,4.863467901397936,-74.0319417435765,14,13,4,2026-04-10 13:01:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.86347697256866,-74.03200813831307,16,9,4,2026-04-03 09:22:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858624004556516,-74.03120520140227,18,23,2,2026-01-21 23:14:00,pending,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863967452055577,-74.031224565923,25,8,0,2026-05-18 08:31:00,verified,False
Maintenance,Information,porton-cafe,Portón Café,4.863480462481184,-74.0375684322598,5,21,5,2026-04-04 21:14:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.8585194366624815,-74.03172811516909,100,21,6,2026-01-04 21:20:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.8588621356786295,-74.031251688981,58,11,1,2025-12-09 11:36:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858449189645756,-74.03161090405325,85,19,5,2026-03-28 19:22:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863273361657333,-74.03143780062793,12,13,1,2026-04-21 13:49:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.8586000358384895,-74.03136380800635,85,16,3,2026-02-19 16:24:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863531710150254,-74.03125926807866,5,19,1,2026-02-03 19:45:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858798187121389,-74.0313873797484,76,11,4,2026-02-27 11:06:00,discarded,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858740226604448,-74.03175622271527,91,7,1,2025-12-23 07:27:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.863584529359067,-74.03193208920821,92,7,4,2026-04-10 07:38:00,pending,True
Dark Zone,Medium,ad-portas,Ad Portas,4.8634286968928375,-74.03228638451854,31,7,4,2026-01-02 07:19:00,verified,True
Theft/Robbery,High,ad-portas,Ad Portas,4.863821802985404,-74.032235171741,100,19,0,2026-03-23 19:23:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858258614118423,-74.03116670872633,82,7,1,2026-03-17 07:19:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858655657377626,-74.03161498381735,54,19,3,2026-04-16 19:20:00,pending,False
Maintenance,Information,ad-portas,Ad Portas,4.863628709589273,-74.03128167924719,16,17,5,2026-01-10 17:34:00,pending,True
Theft/Robbery,High,puente-madera,Puente Madera,4.8587050603522925,-74.03157872244243,79,19,3,2026-03-12 19:53:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858736560353778,-74.03184803367853,33,17,3,2025-12-25 17:15:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8588236528188045,-74.03147182691237,47,15,2,2026-04-22 15:25:00,discarded,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858678686786613,-74.03143648365892,73,18,4,2026-02-20 18:51:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.8585193390549195,-74.03146683094897,38,18,3,2026-01-01 18:02:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863630650551142,-74.03796777508127,62,7,1,2026-03-10 07:06:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858769519496483,-74.03145479405313,61,14,3,2026-01-15 14:25:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.864139642333339,-74.03131725197399,27,7,0,2026-03-23 07:26:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858419084606653,-74.03163096371553,50,12,5,2026-02-07 12:50:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858778531804093,-74.03165114876262,52,6,0,2026-02-09 06:02:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.85852392341353,-74.0316283035606,63,16,2,2026-01-21 16:35:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863363030026167,-74.03226367384225,38,8,3,2026-04-30 08:40:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858885728359321,-74.03169587977776,81,14,0,2026-04-20 14:00:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858773663580176,-74.03146903277525,69,7,3,2026-04-16 07:55:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858815061975882,-74.03162112756524,51,12,4,2025-12-19 12:54:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.859187016907653,-74.03152521197994,63,7,0,2026-04-20 07:08:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858534364714974,-74.03151299769809,100,13,0,2026-03-30 13:38:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858549606588443,-74.03114351028839,88,8,5,2026-04-11 08:18:00,verified,False
Theft/Robbery,High,porton-cafe,Portón Café,4.863436506644821,-74.03726727767828,91,18,2,2026-03-04 18:26:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858799361992443,-74.03182004494397,71,4,0,2026-02-02 04:14:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858625496272889,-74.03152088668581,57,16,3,2026-04-09 16:36:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858710540200186,-74.03177306887173,84,16,3,2026-03-12 16:27:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858797117149057,-74.0313940419104,92,8,0,2026-01-19 08:47:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8588417844309095,-74.03141416398415,49,16,1,2026-02-17 16:38:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.863141711719946,-74.03155115271235,82,23,1,2026-03-31 23:43:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858729315767439,-74.03176134971515,67,20,3,2026-01-29 20:08:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863955945856,-74.03173882206154,58,13,1,2026-05-12 13:09:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.8586806636752256,-74.03150004877209,91,16,1,2026-03-03 16:17:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858571791054357,-74.0314867758446,44,20,3,2025-11-20 20:54:00,pending,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858588100754513,-74.03156783442469,52,19,5,2025-12-06 19:25:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.8585792502756675,-74.03125484877488,39,19,2,2026-05-13 19:02:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863583938506752,-74.03189889242331,67,15,3,2026-03-12 15:27:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858714310955302,-74.0312996310921,62,7,3,2026-01-29 07:23:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863720115079761,-74.03136714768175,50,11,2,2026-04-29 11:44:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858888096075013,-74.03160945769001,96,18,5,2025-11-22 18:52:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.859134779624724,-74.03157856771207,74,7,3,2026-02-26 07:51:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.8640760153431355,-74.03109117114171,43,23,6,2026-05-03 23:09:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858590962636581,-74.03156235692177,33,7,2,2026-01-14 07:06:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863364404416055,-74.0321246563067,5,17,2,2026-04-22 17:38:00,discarded,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858668063022522,-74.03145915705349,98,16,1,2026-01-20 16:07:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858475329191852,-74.0313091355203,77,21,4,2026-02-20 21:08:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858665107258069,-74.03137103610156,66,22,4,2026-03-20 22:49:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858751481949237,-74.03147270955834,55,13,0,2026-05-18 13:40:00,verified,True
Suspicious Person,Medium,ad-portas,Ad Portas,4.863726750593172,-74.03074087994403,42,21,4,2025-12-12 21:07:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.8634807009135,-74.03197225621057,73,16,3,2026-04-02 16:52:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858547522574539,-74.03126819669377,67,19,5,2025-12-20 19:01:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863468776111875,-74.03205594222923,20,6,2,2026-04-29 06:29:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858564555391144,-74.03137941363644,82,0,0,2026-03-30 00:54:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858371851177,-74.03119649895973,100,21,6,2026-01-04 21:54:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858552442261903,-74.03158354031198,83,9,1,2026-02-10 09:58:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858741891357997,-74.03137429114545,74,21,0,2026-05-11 21:11:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858639610554501,-74.0316656594489,33,19,5,2026-01-31 19:19:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.863420720988017,-74.03173625078915,36,19,3,2026-02-05 19:15:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858571477740193,-74.03146124240966,79,19,2,2026-04-08 19:15:00,discarded,True
Theft/Robbery,High,puente-madera,Puente Madera,4.85891267865469,-74.03100061351482,73,0,4,2026-02-13 00:42:00,pending,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.8585771121114965,-74.03129716782458,58,22,1,2026-03-17 22:05:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.864194012197721,-74.03148942872586,10,8,2,2025-12-17 08:10:00,verified,True
Theft/Robbery,High,ad-portas,Ad Portas,4.863817196449208,-74.03127951856777,89,18,1,2026-05-19 18:02:00,pending,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858776454806221,-74.03129266506208,94,22,3,2025-11-27 22:54:00,pending,True
Maintenance,Information,ad-portas,Ad Portas,4.864054647697311,-74.03146351604497,12,21,6,2026-01-25 21:04:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.86368401410593,-74.0312403964134,40,8,1,2025-12-02 08:36:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858748734661774,-74.03158466776246,50,12,5,2026-01-03 12:58:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858930690372521,-74.03146778018639,50,7,4,2025-12-05 07:24:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858403028771804,-74.03135674928679,57,23,0,2025-11-24 23:50:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.864288976416992,-74.03184611129399,17,11,5,2026-03-28 11:17:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858724876736742,-74.03119050934404,48,19,3,2025-12-04 19:30:00,pending,False
Maintenance,Information,porton-cafe,Portón Café,4.863604804305154,-74.03727463104708,17,18,3,2026-01-22 18:17:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.8585857132770895,-74.0314671820014,92,20,3,2026-04-16 20:51:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863332045410177,-74.03166981213035,41,11,0,2026-04-20 11:47:00,discarded,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858914009325785,-74.03181063738094,43,8,0,2026-04-13 08:12:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858750442375013,-74.03119289519415,79,5,2,2026-03-25 05:03:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863437960094661,-74.03689265287917,32,3,4,2025-12-05 03:37:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858235238808676,-74.03141799710998,43,12,0,2025-12-08 12:42:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863333630154861,-74.03143965742107,52,19,2,2026-03-11 19:31:00,verified,False
Theft/Robbery,High,porton-cafe,Portón Café,4.863436184273852,-74.0378410913196,90,4,1,2026-04-14 04:38:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858805040235592,-74.03152583517274,100,7,4,2026-03-27 07:47:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863318974570102,-74.03233321006837,41,18,3,2026-01-22 18:22:00,verified,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863626324195094,-74.03162566422027,47,20,0,2025-12-15 20:50:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863745616618955,-74.03222361576968,67,10,4,2025-11-28 10:20:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863615354646482,-74.03127608166736,54,6,1,2025-12-30 06:21:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858766350643831,-74.03139204654394,55,18,0,2026-01-26 18:19:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858803544551973,-74.03124016949397,82,12,2,2025-12-03 12:27:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858816800751518,-74.03152394713885,97,8,2,2025-11-26 08:40:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863437082309383,-74.03100262382684,49,15,4,2026-03-20 15:42:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858388844979577,-74.03148037911701,71,17,1,2026-01-27 17:09:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.863892193064697,-74.03198404959171,9,22,3,2026-03-05 22:37:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858297091853811,-74.03159646126385,20,20,3,2026-05-14 20:30:00,verified,True
Dark Zone,Medium,porton-cafe,Portón Café,4.863232219435303,-74.03722887560316,59,19,1,2026-01-13 19:08:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863767637268536,-74.03210979045726,49,9,1,2026-04-21 09:58:00,pending,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858674279492182,-74.03173767293784,68,20,2,2026-02-11 20:33:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858850472458115,-74.03155019283476,50,7,5,2026-03-07 07:09:00,verified,False
Maintenance,Information,porton-cafe,Portón Café,4.863590676561589,-74.03806952046052,12,19,0,2026-04-13 19:50:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8585386031504,-74.03170632400197,46,15,2,2026-05-06 15:38:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.859034537305369,-74.03137783142773,43,13,5,2025-11-29 13:56:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.863663516556271,-74.03703719336903,61,12,1,2025-11-25 12:50:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858686926073984,-74.03163538735554,58,17,4,2026-03-06 17:05:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858753697077084,-74.03132696135599,57,20,0,2026-02-23 20:32:00,verified,False
Maintenance,Information,porton-cafe,Portón Café,4.863758910543064,-74.03761757056347,30,12,1,2026-01-20 12:38:00,discarded,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858714519920938,-74.03109094782546,41,20,2,2025-12-31 20:16:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.859022192760633,-74.0314664178433,72,18,1,2026-01-27 18:32:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863494834249784,-74.03185113892327,55,8,0,2026-05-04 08:51:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863796850646411,-74.03195248000158,49,18,3,2026-02-05 18:52:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.859103454071723,-74.03116049136597,55,18,2,2026-05-06 18:57:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863651401043451,-74.03167498746932,57,13,2,2026-04-22 13:20:00,pending,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.86334444148696,-74.03753421296123,29,13,5,2026-03-07 13:47:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863759766936782,-74.03146412162411,44,16,3,2026-05-14 16:50:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.864112196028987,-74.0322133062652,32,20,3,2026-05-07 20:11:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858719890363711,-74.03129658033947,70,22,0,2026-01-05 22:57:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858583223147426,-74.03129026383331,49,19,5,2026-03-07 19:21:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.8635882118100175,-74.03136953602501,57,17,4,2026-05-01 17:39:00,pending,False
Theft/Robbery,High,porton-cafe,Portón Café,4.863233721568603,-74.03701403789509,96,5,4,2025-11-21 05:12:00,discarded,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858549887459698,-74.0314268392933,55,2,2,2026-01-07 02:00:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863718202129747,-74.03194312206153,41,13,1,2025-12-16 13:37:00,verified,True
Theft/Robbery,High,porton-cafe,Portón Café,4.863543889185801,-74.03710518129422,86,17,3,2026-04-02 17:21:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858600877133583,-74.03135166025787,45,20,1,2026-02-24 20:16:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863984629710112,-74.0324188855115,45,20,2,2026-05-06 20:03:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8584510660210745,-74.03176493629513,63,8,0,2026-05-18 08:44:00,verified,False
Maintenance,Information,ad-portas,Ad Portas,4.863499689639607,-74.03158439844731,14,17,2,2026-01-28 17:44:00,pending,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858770408165444,-74.03149063562178,34,22,3,2026-04-02 22:22:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858874253363889,-74.03160475131662,61,21,4,2026-05-15 21:21:00,verified,True
Suspicious Person,Medium,puente-madera,Puente Madera,4.858589376967807,-74.03120584804186,60,11,1,2026-05-12 11:47:00,pending,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863535404359678,-74.03186270308173,46,18,4,2026-05-08 18:21:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.859090349596712,-74.03142961290955,85,19,0,2026-02-23 19:11:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858881056690806,-74.03145824216818,46,18,5,2026-03-07 18:51:00,verified,False
Dark Zone,Medium,porton-cafe,Portón Café,4.863509730030183,-74.03747848037783,49,13,1,2025-12-16 13:37:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858820525908727,-74.03149561082283,88,21,0,2026-03-23 21:07:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858658856683978,-74.03149027296193,56,20,1,2026-05-19 20:33:00,verified,False
Suspicious Person,Medium,porton-cafe,Portón Café,4.86373226553494,-74.03735305345724,61,16,2,2026-04-01 16:44:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858095748924361,-74.03108832505903,78,19,1,2025-12-09 19:20:00,discarded,True
Dark Zone,Medium,ad-portas,Ad Portas,4.863972454845022,-74.03213896237085,57,20,1,2026-03-03 20:05:00,pending,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863323975331048,-74.03197250758427,72,5,3,2026-03-05 05:35:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858636863519847,-74.03146251342535,60,17,0,2026-03-30 17:41:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863788704566392,-74.03166283243795,54,11,0,2026-03-16 11:49:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.859155683117048,-74.0315175237594,82,19,6,2025-12-14 19:14:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858885130879202,-74.0312848948134,64,12,3,2026-04-02 12:06:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858802746044406,-74.03173460098255,69,9,2,2025-12-17 09:12:00,discarded,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858445730921396,-74.03144547290695,70,7,5,2026-02-14 07:26:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.8636207584960225,-74.03159149503588,53,18,1,2026-03-17 18:32:00,verified,False
Dark Zone,Medium,porton-cafe,Portón Café,4.863633384150847,-74.03697288661928,55,7,0,2025-12-22 07:42:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8586261686729415,-74.03131318256634,64,9,3,2026-04-30 09:13:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858429478436973,-74.03138651998603,88,16,5,2026-03-28 16:40:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.8586154872993275,-74.03123085863733,48,19,6,2026-03-08 19:33:00,verified,True
Theft/Robbery,High,ad-portas,Ad Portas,4.863677672936042,-74.03179222872971,80,23,2,2025-12-31 23:43:00,pending,False
Maintenance,Information,ad-portas,Ad Portas,4.863311117473931,-74.03229902035304,34,12,4,2025-11-28 12:28:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858505607730336,-74.03170427846989,24,9,4,2026-02-27 09:50:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863448311475693,-74.03225223591737,69,13,4,2026-02-27 13:50:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858876963417869,-74.03164363006903,100,18,4,2026-05-01 18:41:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863934529646098,-74.0318529325534,20,14,1,2026-02-03 14:43:00,discarded,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.864327282771778,-74.0322788289867,30,10,0,2026-03-09 10:16:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858879514086402,-74.03101804951872,66,11,4,2026-05-08 11:50:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.8638091727360155,-74.03148509826333,60,16,1,2026-01-06 16:50:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863867678576936,-74.03161052343042,51,18,1,2026-01-13 18:21:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.85866248137442,-74.03165679291777,46,1,1,2026-05-05 01:42:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858336408637161,-74.03152566792535,68,9,3,2026-02-26 09:46:00,discarded,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858454282136557,-74.03147002116977,66,17,4,2025-11-21 17:13:00,pending,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8588586633212,-74.03182010012071,38,20,0,2026-05-04 20:04:00,verified,False
Suspicious Person,Medium,ad-portas,Ad Portas,4.863922231356397,-74.03211599495741,47,6,0,2025-12-08 06:50:00,verified,False
Theft/Robbery,High,porton-cafe,Portón Café,4.863659010419805,-74.03774750333646,81,14,4,2026-02-27 14:25:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858408194901016,-74.03162627352879,53,19,5,2025-12-06 19:37:00,pending,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858356401253293,-74.03141790505241,49,11,3,2026-05-14 11:05:00,discarded,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858785497990883,-74.03146121717317,96,8,5,2026-03-21 08:14:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858700044900529,-74.03159188110821,51,16,5,2025-11-22 16:35:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858783659605807,-74.03149622798593,50,11,3,2025-12-11 11:47:00,pending,True
Dark Zone,Medium,porton-cafe,Portón Café,4.863408601662439,-74.03765587027527,33,8,2,2025-12-31 08:39:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.859024915348638,-74.03175477264708,71,15,3,2026-04-09 15:35:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.863424477820329,-74.03136503024922,11,22,1,2026-03-24 22:22:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858924548414534,-74.03164069812485,83,15,0,2026-02-09 15:21:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858507930589348,-74.03107697017444,35,22,6,2026-02-08 22:10:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858736964142046,-74.0313792446238,54,20,3,2026-01-29 20:08:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858637942468224,-74.03153196413994,50,16,1,2026-03-24 16:11:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858645599599674,-74.03131322417663,76,10,4,2026-01-09 10:56:00,pending,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858563501642998,-74.03177996059591,78,17,4,2026-04-17 17:49:00,discarded,False
Dark Zone,Medium,puente-madera,Puente Madera,4.8591909418675305,-74.03166673491359,69,18,4,2026-03-20 18:09:00,verified,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.859010540162815,-74.03161671764833,56,15,2,2025-12-24 15:32:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.864128518986939,-74.03187465109639,12,8,3,2026-05-14 08:32:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.8585586638172105,-74.03170895134613,72,22,0,2026-03-23 22:02:00,verified,True
Dark Zone,Medium,puente-madera,Puente Madera,4.858430211946647,-74.03149918330634,40,5,0,2025-12-01 05:41:00,pending,False
Suspicious Person,Medium,puente-madera,Puente Madera,4.858721757182358,-74.03181717912923,53,16,4,2026-04-17 16:11:00,verified,False
Theft/Robbery,High,puente-madera,Puente Madera,4.858841705792321,-74.03190474712851,84,9,2,2026-04-01 09:58:00,verified,False
Dark Zone,Medium,ad-portas,Ad Portas,4.864008300697742,-74.03220685640747,70,0,3,2026-04-23 00:56:00,verified,True
Theft/Robbery,High,puente-madera,Puente Madera,4.858758803801873,-74.03164700237114,79,19,4,2026-03-06 19:46:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858786665382504,-74.03149079892171,56,9,1,2025-11-25 09:08:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858490865281384,-74.03147212783519,33,22,2,2026-04-22 22:40:00,pending,False
Dark Zone,Medium,ad-portas,Ad Portas,4.863606632181596,-74.03208456305659,41,8,2,2026-04-22 08:37:00,verified,False
Theft/Robbery,High,ad-portas,Ad Portas,4.864010827952563,-74.03128647595176,87,17,0,2026-03-16 17:04:00,verified,True
Maintenance,Information,ad-portas,Ad Portas,4.863312306170599,-74.03184956337988,29,14,3,2026-05-14 14:09:00,verified,False
Dark Zone,Medium,puente-madera,Puente Madera,4.858703343382728,-74.03104213409199,54,14,3,2026-04-02 14:55:00,verified,True
